Model,OperationalRank,SafetyRank,Org.,Size,Released,CodeLMArena,MathLiveBench,CodeLiveBench,Input Cost/M,Output Cost/M,CutoffKnowledge,ContextLength,License,SafeResponses,UnsafeResponses,JailbreakingResistance
Claude 3 Haiku,#21,N/A,Anthropic,20B Parameters,07-Mar-24,1184,22.90%,-,$0.25 ,$1.25 ,Aug-23,"200,000 tokens",Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Claude 3 Opus,#76,N/A,Anthropic,2T Parameters,04-Mar-24,1236,43.40%,-,$15 ,$75 ,Aug-23,"200,000 tokens",Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Claude 3.5 Haiku,#26,N/A,Anthropic,20B Parameters,22-Oct-24,1263,35.50%,28.00%,$1 ,$5 ,Jul-24,"200,000 tokens",Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Claude 3.5 Sonnet,#34,N/A,Anthropic,70B Parameters,22-Oct-24,1313,51.30%,32.30%,$3 ,$15 ,Apr-24,"200,000 tokens",Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Claude 3.7 Sonnet,#31,#1,Anthropic,70B Parameters,24-Feb-25,1326,63.30%,32.40%,$3 ,$15 ,Oct-24,"200,000 tokens",Proprietary,100%,0%,100%
,,,,,,,,,,,,,,,,
Claude 3.7 Sonnet Thinking,#30,N/A,Anthropic,70B Parameters,24-Feb-25,1333,77.50%,44.70%,$3 ,$15 ,Oct-24,"200,000 tokens",Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
Codestral 25.01,#50,N/A,Mistral,-,14-Jan-25,-,-,-,-,-,-,"256,000 tokens",Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
DeepSeek 2.5,#9,N/A,DeepSeek,236B Parameters,12-Sep-24,1255,-,-,$0.13 ,$0.38 ,Nov-23,"128,000 tokens",Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
DeepSeek Coder 2,#10,N/A,DeepSeek,236B Parameters,22-Jul-24,1226,-,-,$0.14 ,$0.28 ,Nov-23,"128,000 tokens",Proprietary,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
DeepSeek R1,#14,#5,DeepSeek,671B Parameters,20-Jan-25,-,79.50%,48.50%,$0.55 ,$2.19 ,Jul-24,"128,000 tokens",Open Source,89%,11%,32%
,,,,,,,,,,,,,,,,
DeepSeek V3,#13,N/A,DeepSeek,685B Parameters,24-Mar-25,-,73.50%,40.50%,$0.27 ,$1.10 ,Jul-24,"128,000 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
DeepSeek V3,#13,N/A,DeepSeek,671B Parameters,26-Dec-24,1279,60.50%,-,$0.07 ,$1.10 ,Jul-24,"128,000 tokens",Open Source,N/A,N/A,N/A
,,,,,,,,,,,,,,,,
